usuario,fecha,texto,rating
sofia452,2026-06-19,"  Muy recomendada, la función de backup es justo lo que necesitaba. Me encanta FlowApp, sobre todo la app en tablet, la uso todos los días 👏  ",5
sofia843,2026-06-08,"Increible experiencia de principio a fin, sin ningún problema",5
gabriel164,2026-06-26,BIEN,4
sofia932,2026-07-07,"Excelente la interfaz, funciona perfecto y sin fallas. Excelente los anuncios, funciona perfecto y sin fallas!",5
camila940,2026-06-26,"Perfecta, no le cambiaría nada, el soporte al cliente funciona genial 👏",5
nicolas254,2026-06-22,"  MUY RECOMENDADA, LA INTERFAZ ES JUSTO LO QUE NECESITABA  ",5
juan911,2026-07-01,"Muy buena app, aunque el buscador interno podría mejorar un poco! 😐",4
renata88,2026-07-10,"  Excelente los anuncios, funciona perfecto y sin fallas. Excelente la velocidad de carga, funciona perfecto y sin fallas  ",5
camila230,2026-05-25,"Perfecta, no le cambiaria nada, la funcion de backup funciona genial. Simplemente la mejor, las actualizaciones nunca me fallo!",5
luciana472,2026-05-22,"Cumple lo que promete, el modo oscuro anda bien la mayoría del tiempo",4
fernanda590,2026-06-05,"BASTANTE  CONFORME, EL LOGIN ES SOLIDO AUNQUE NO PERFECTO 😐",4
juan226,2026-06-20,"Muy buena app, aunque el widget de inicio podría mejorar un poco. Me gusta bastante, la interfaz funciona bien casi siempre 🔥",4
alejandro506,2026-06-16,"  Excelente las notificaciones, funciona perfecto y sin fallas!!!  ",5
gabriel197,2026-06-03,"  NO ME CONVENCIO, EL BUSCADOR INTERNO FALLA SEGUIDO  ",2
renata192,2026-06-22,"Bastante conforme, la batería es ssólido aunque no perfecto!",4
valeria875,2026-05-07,"Muy buena app, , aunque la velocidad de carga podría mejorar un poco 👏",4
carolina765,2026-06-27,"No me convencio, el modo oscuro falla seguido 😡",2
paula312,2026-05-10,Muy buena,4
martin827,2026-05-05,Contento con la app 🔥 😐,4
camila846,2026-06-02,Bien,4
paula471,2026-06-09,"  Excelente LA velocidad de carga, funciona perfecto y sin fallas...  ",
juan808,2026-07-04,"Cumple lo que promete, el buscador interno anda bien la mayoría del tiempo?? 🤔",4
camila179,2026-06-05,"Ni fu ni fa, , esperaba más de el widget de inicio",3
andres245,2026-05-06,"INCREÍBLE EXPERIENCIA DE PRINCIPIO A FIN, SIN NINGÚN PROBLEMA 💯!!!",5
gabriel290,2026-05-14,"Perfecta, no le cambiaria naada, la bateria funciona genial 😐",5
diego159,2026-05-08,"Me encanta FlowApp, sobre todo las notificaciones, la uso todos los días. Simplemente la mejor, la velocidad de carga nunca me falló",5
diego427,2026-05-03,"Increíble EXPERIENCIA de principio a fin, sin ningún problema",5
sofia569,2026-06-29,"  ME ENCANTA FLOWAPP, SOBRE TODO LAS NOTIFICACIONES, LA USO TODOS LOS DÍAS!  ",5
carolina368,2026-05-26,"Recomendada, , aunque esperaba un poco más de el modo oscuro...",4
alejandro538,2026-07-05,,4
valeria229,2026-05-01,Ni fu ni fa!!,3
fernanda144,2026-06-26,Bien 💯,4
andres833,2026-06-16,"  Es una app promedio, los anuncios funciona a veces y a veces no  ",3
juan994,2026-06-08,"Diez de diez, el precio de la suscripcion supero mis expectativas totalmente",5
camila355,2026-06-23,10/10,5
diego191,2026-05-09,"  Pesima experiencia, el soporte al cliente no funciona para nada. No la recomiendo, perdi tiempo y dinero por las alertas push!  ",1
camila953,2026-05-14,,5
alejandro520,2026-06-01,"  Buena experiencia en general, solo tuve un problemita con el soporte al cliente 😍   🤔",4
luciana151,2026-05-03,"Buena experiencia en general, solo tuve un problemita con las alertas push!!",4
renata996,2026-06-13,"Diez de diez, , las alertas push superó mis expectativas totalmente. Increíble experiencia de principio a fin, , sin ningún problema",5
camila463,2026-06-26,"  INCREÍBLE EXPERIENCIA DE PRINCIPIO A FIN, SIN NINGÚN PROBLEMA 😍...  ",5
paula153,2026-07-08,"Simplemente la mejor, el modo oscuro nunca me fallo. Excelente el precio de la suscripcion, funciona perfecto y sin fallas.",5
camila683,2026-05-07,"Cumple lo BÁSICO nada más, , la app en tablet necesita trabajo. Está bien pero la sincronización le falta pulir",-1
mateo553,2026-05-04,"  ME ENCANTA FLOWAPP, SOBRE TODO LA FUNCION DE BACKUP, LA USO TODOS LOS DIAS. INCREIBLE EXPERIENCIA DE PRINCIPIO A FIN, SIN NINGUN PROBLEMA!  ",5
mateo874,2026-06-28,"Me gusta bastante, las alertas push funciona BIEN cassi siempre",4
sofia782,2026-05-21,,5
diego744,2026-06-04,  MUY BUENA!!  ,4
gabriel563,2026-05-27,"  MUY BUENA APP, AUNQUE LA APP EN TABLET PODRÍA MEJORAR UN POCO  ",4
camila157,2026-05-06,"La mejor app que probé en mucho tiempo, la velocidad de carga funciona increíble",5
camila541,2026-06-04,"  Excelente la batería, funciona perfecto y sin fallas. Excelente el buscador interno, funciona perfecto y sin fallas...  ",5
valeria458,2026-05-20,"Simplemente la mejor, el soporte al cliente nunca me falló 🔥!!!",5
gabriel645,2026-06-20,"Ni fu ni fa, esperaba mas de las actualizaciones",3
sofia647,2026-07-07,"   BUENA EXPERIENCIA EN GENERAL, SOLO TUVE UN PROBLEMITA CON LAS NOTIFICACIONES!!!   ",4
paula207,2026-07-10,"Regular, tiene cosas buenas pero la velocidad de carga me genero dudas.",3
luciana964,2026-06-08,  No me gusto...   😐,
valentina367,2026-06-16,"Cumple lo que promete, los anuncios anda bien la mayoría del tiempo",4
andres883,2026-05-12,"Tuve varios inconvenientes con las actualizaciones, no fue buena  experiencia",2
renata292,2026-06-19,"Increíble experiencia de principio A fin, sin ningún problema!!",5
gabriel994,2026-05-22,"  BASTANTE CONFORME, LA BATERÍA ES SÓLIDO AUNQUE NO PERFECTO. CUMPLE LO QUE PROMETE, LAS NOTIFICACIONES ANDA BIEN LA MAYORÍA DEL TIEMPO  ",4
santiago360,2026-06-29,"Muy recomendada, , las notificaciones es justo lo que necesitaba",5
paula247,2026-05-26,"La mejor app que probé en mucho tiempo, las notificaciones funciona increíble ⭐️⭐️⭐️⭐️⭐️",5
nicolas19,2026-05-09,  Está bien pero el widget de inicio le falta pulir 😐  ,3
valentina913,2026-06-20,,3
diego794,2026-05-13,"Excelente la función de backup, funciona perfecto y sin fallas 👏",5
diego395,2026-06-07,"Diez de diez, la velocidad de carga superó mis expectativas totaalmente!!",5
sofia718,2026-05-04,Recomendada.,4
fernanda565,2026-05-06,"  La peor app que probe, la función de backup es un desastre. Terrible, el buscador interno se rompe constantemente.  ",1
sofia402,2026-05-07,,5
diego263,2026-07-03,"MUY BUENA APP, AUNQUE LA INTERFAZ PODRIA MEJORAR UN POCO",4
camila53,2026-07-10,Normal 😐!!,3
renata278,2026-05-29,"  Ni fu ni fa, esperaba más dde las notificaciones!  ",3
santiago749,2026-05-10,"  Me encanta FlowApp, sobre todo el login, la uso todos los días. La mejor app que probé en mucho tiempo, las notificaciones funciona increíble 😍??  ",5
juan122,2026-05-25,  Bien   🤔,4
carolina722,2026-06-15,Regular,3
diego832,2026-05-26,"  Ni fu ni fa, esperaba más de el soporte al cliente. Cumple lo básico nada más, la funcion de backup necesita trabajo  ",
martin908,2026-05-11,"Recomendada, aunque esperaba un poco más de la batería",4
camila36,2026-05-25,"Increíble experiencia de principio a fin, sin ningún problema. La mejor app que probé en mucho tiempo, el LOGIN funciona increíble!!",5
valeria229,2026-05-01,Ni fu ni fa!!,3
sofia704,2026-07-04,"  Diez de diez, , la sincronización superó mis expectativas totalmente. Diez de diez, , el buscador interno superó mis expectativas totalmente  ",5
emiliano982,2026-06-18,"No me convenció, el modo oscuro falla seguido",2
alejandro973,2026-05-09,"  PERFECTA, NO LE CAMMBIARÍA NADA, LA INTERFAZ FUNCIONA GENIAL...  ",5
fernanda107,2026-07-03,"Excelente el buscador interno, funciiona perfecto y sin fallas",5
sofia76,2026-05-15,"Me encanta FlowApp, sobre todo el login, la uso todos los días. Me encanta FlowApp, sobre todo el login, la uso todos los días 😐",5
diego396,2026-07-05,"Cumple lo que promete, la batería anda bien la mayoría del tiempo. Buena experiencia en general, solo tuve un problemita con la interfaz 🙌",4
carolina497,2026-07-01,"  Me gusta bastante, el buscador interno funciona bien casi siempre.  ",4
carolina451,2026-05-09,Muy buena 🤔,4
santiago581,2026-06-20,"Es una app promedio, la sincronización funciona a veces y a veces no",0
alejandro297,2026-05-24,"Excelente la velocidad de carga, funciona perfecto y sin fallas. 😐",5
santiago861,2026-06-27,"  MUY BUENA APP, AUNQUE LA VELOCIDAD DE CARGA PODRÍA MEJORAR UN POCO. MUY BUENA APP, AUNQUE EL SOPORTE AL CLIENTE PODRÍA MEJORAR UN POCO  ",4
paula771,2026-05-21,"Muy buena app, aunque las notificaciones podria mejorar un poco!!",4
santiago177,2026-05-05,"Increíble experiencia de principio a fin, sin ningún pproblema 😐",5
valentina378,2026-06-23,,3
paula436,2026-06-09,"  Increíble experiencia de principio a fin, sin ningún problema. La mejor app que probé en mucho tiempo, las alertas push funciona increíble ⭐️⭐️⭐️⭐️⭐️??  ",5
luciana218,2026-05-13,BIEN,4
sofia358,2026-05-04,,3
sofia874,2026-06-25,"Muy recomendada, la interfaz es justo lo que neceesitaba 👏...",5
mateo201,2026-06-01,"Excelente las alertas push, funciona perfecto y sin fallas 💯",5
andres854,2026-07-03,"Cumple lo básico nada más, la funcion de backup necesita trabajo 🤔!!!",3
valeria470,2026-06-12,"PERFECTA, no le cambiaría nada, los anuncios funciona genial 🙌.",
gabriel467,2026-06-13,"SIMPLEMENTE LA MEJOR, EL SOPORTE AL CLIENTE NUNCA ME FALLO",5
santiago477,2026-05-29,"Muy recomendada, la batería es justo lo que necesitaba!",5
sofia397,2026-06-11,"Increíble experieencia de principio a fin, sin ningún problema 💯!!",5
emiliano702,2026-05-04,"Me encanta FlowApp, sobre todo el login, la uso todos los días. Muy recomendada, los anuncios es justo lo que necesitaba",5
nicolas768,2026-05-12,"Perfecta, no le cambiaría nada, la interfaz funciona genial. La mejor app que probé en mucho tiempo, la función de backup funciona increíble",5
juan882,2026-06-21,"Buena experiencia en general, solo tuve un problemita con la función de backup 🔥 😐",4
valeria201,2026-05-14,"  Está bien pero las actualizaciones le falta pulir. Regular, tiene cosas buenas pero el widget de inicio me generó dudas 😐!  ",3
mateo142,2026-06-01,"Diez de diez, , el widget de inicio superó mis expectativas totalmente. Increíble EXPERIENCIA de principio a fin, , sin ningún problema. 🤔",5
valentina556,2026-06-04,"Perfecta, no le cambiaria nada, el logiin funciona genial",5
sofia426,2026-06-15,ESPEERABA MAS!! 😐,2
diego623,2026-06-15,"Regular, tiene cosas BUENAS pero la app en tablet me generó dudas. Es una app promedio, el login funciona a veces y a veces no",-1
juan741,2026-06-12,"  Bastante decepcionante, sobre todo la app en tablet  ",2
luciana747,2026-06-16,"  CUMPLE LO BÁSICO NADA MÁS, LAS NOTTIFICACIONES NECESITA TRABAJO 🤔  ",3
alejandro516,2026-06-17,"Me gusta bastante, la función de backup funciona bien casi siempre. Me gusta bastante, el login funciona bien casi siempre 😐",4
daniela419,2026-07-08,"NO LA RECOMIENDO, PERDÍ TIEMPO Y DINERO POR LAS ACTUALIZACIONES 😞",1
gabriel681,2026-05-29,"  Bastante decepcionante, sobre todo las actualizaciones!!  ",2
santiago344,2026-05-02,  Muy buena  ,4
daniela336,2026-06-08,"Me encanta FlowApp, sobre todo las alertas push, la  uso todos los días",5
juan873,2026-05-23,"Regular, tiene cosas buenas pero la app en tablet me generó dudas. Ni fu ni fa, esperaba más de la batería 😐!",3
paula806,2026-05-01,  RECOMENDADA  ,4
fernanda425,2026-07-03,"Bastante conforme, el login es sólido aunque no perfecto. Cumple lo que promete, el widget de inicio anda bien la mayoría del tiempo!",4
daniela994,2026-06-16,"  Bastante decepcionante, sobre todo la interfaz 😞  ",2
santiago759,2026-05-26,"  Excelente la veloccidad de carga, funciona perfecto y sin fallas  ",5
daniela985,2026-06-26,"Bastante decepcionante, sobre todo el login",2
paula737,2026-05-06,"Perfecta, no le cambiaría nada, la batería funciona genial. Me encanta FlowApp, sobre todo el soporte al cliente, la uso todos los días",5
santiago466,2026-06-02,"No me convenció, el buscador interno falla seguido. Bastante decepcionante, sobre todo la app en tablet 😞",2
carolina549,2026-05-06,"  Ni fu ni fa, esperaba más de el soporte al cliente. Cumple lo básico nada más, el soporte al cliente necesita trabajo!  ",3
emiliano55,2026-07-09,"  Me encanta FlowApp, sobre todo la funcion de backup, la uso toddos los dias  ",5
carolina830,2026-07-02,"Recomendada, aunque esperaba un POCO mas de los anuncios",4
camila690,2026-05-23,Podria mejorar,3
fernanda361,2026-05-13,  No ME gusto  ,2
sofia505,2026-07-09,"Muy recomendada, , LA interfaz es justo lo que necesitaba!!!",5
juan385,2026-05-05,"Excelente las actualizaciones, , funciona perfecto y sin fallas. La mejor app que probe en mucho tiempo, , el modo oscuro funciona increíble",5
gabriel120,2026-05-12,"Bastante conforme, , el buscador interno es sólido aunque no perfecto 😐",4
fernanda771,2026-07-07,,5
diego194,2026-05-13,Me encanta,5
mateo234,2026-05-31,  Regular??  ,3
camila111,2026-05-02,Perfecta,5
camila719,2026-05-28,"Muy buena app, aunque los anuncios podría mejorar un poco",4
fernanda339,2026-05-09,"  Excelente la batería, funciona perfecto y sin fallas. Me ENCANTA FlowApp, sobre todo el modo oscuro, la uso todos los días  ",5
fernanda888,2026-06-17,"Es una app promedio, la app en tablet funciona a veces y a veces no",6
alejandro940,2026-05-09,"Tuve varios inconvenientes con el precio de la suscripción, no fue buena experiencia. Bastante decepcionante, sobre todo la bateria 👎",2
juan436,2026-06-02,La amo??,5
renata815,2026-06-02,,2
fernanda907,2026-05-10,"Muy buena app, , aunque la batería podría mejorar un poco! 🤔",4
valentina658,2026-07-01,"Perfecta, no le cambiaría nada, el widget de inicio funciona genial!!",5
alejandro432,2026-05-06,"NO ME CONVENCIÓ, EL MODO OSCURO FALLA SEGUIDO!!! 😐",2
diego518,2026-06-02,"La mejor app que probé en mucho tiempo, , la batería funciona increíble!!",5
emiliano408,2026-05-13,"  LA PEOR APP QUE PROBÉ, EL LOGIN ES UN DESASTRE. MUY MALA, LAS ACTUALIZACIONES DIRECTAMENTE NO SIRVE.  ",1
valentina567,2026-05-25,"La mejor app que probe en mucho tiempo, los anuncios funciona increíble. Perfecta, no le cambiaría nada, el widget de inicio funciona genial!",5
emiliano5,2026-05-19,"Ni fu ni fa, esperaba más de el modo oscuro??",3
paula711,2026-06-23,"Decepcionante total, las notificaciones arruina TODA la experiencia",1
camila954,2026-05-31,  Excelente!!  ,5
paula247,2026-05-26,"La mejor app que probé en mucho tiempo, las notificaciones funciona increíble ⭐️⭐️⭐️⭐️⭐️",5
carolina482,2026-06-10,"  Bastante conforme, la velocidad de carga es sólido aunque no perfecto   🤔",4
fernanda687,2026-06-02,"Esperaba más, , el widget de inicio deja mucho que desear. Tuve varios inconvenientes con la batería, , no fue buena experiencia",2
gabriel438,2026-06-10,"  Recomendada, aunque esperaba un poco más de la función de backup. Me gusta bastante, la interfaz funciona bien casi siempre 👏!  ",4
camila56,2026-06-24,"PERFECTA, NO LE CAMBIARIA NADA, EL PRECIO DE LA SUSCRIPCION FUNCIONA GENIAL.",5
fernanda132,2026-06-06,"Recomendada, aunque esperaba un poco más de la velocidad de carga!!!",4
andres314,2026-07-09,"No la recomiendo, peerdí tiempo y dinero por las actualizaciones. Muy mala, la sincronización directamente no sirve 😐",1
renata857,2026-05-23,"  Recomendada, aunque esperaba un poco más de la batería. Buena experiencia en general, solo tuve un problemita con la app en tablet!!  ",4
daniela345,2026-06-22,"  Muy mala, , la interfaz directamente no sirve  ",1
fernanda144,2026-06-26,Bien 💯,4
luciana261,2026-06-03,"  No la recomendaría del todo, el widget de inicio tiene muchos problemas!  ",2
gabriel496,2026-05-09,"Perfecta, , no le cambiaría nada, , los anuncios funciona genial 🔥",5
emiliano50,2026-06-17,"  Cumple lo que promete, , las alertas push anda bien la mayoría del tiempo!!!  ",4
emiliano521,2026-06-27,Contento con la app,4
mateo799,2026-06-07,"  Muy recomendada, la funcion de backup es justo lo que necesitaba. Muy recomendada, el soporte al cliente es justo lo que necesitaba   🤔",5
gabriel850,2026-07-06,"  Recomendada, aunque esperaba un poco más de la interfaz. Buena experiencia en general, solo tuve un problemita con el login  ",4
santiago749,2026-05-10,"  Me encanta FlowApp, sobre todo el login, la uso todos los días. La mejor app que probé en mucho tiempo, las notificaciones funciona increíble 😍??  ",5
nicolas298,2026-07-09,"Recomendada, aunque esperaba un poco más de la función de backup",4
luciana712,2026-05-13,,2
andres916,2026-06-11,"Perfecta, , no le cambiaría nada, , las alertas push funciona genial 👏",5
sofia779,2026-06-17,"  Me gusta bastante, la función de backup funciona bien casi siempre  ",4
santiago7,2026-07-05,"Me gusta bastante, la funcion de backup funciona bien casi siempre ⭐️⭐️⭐️⭐️⭐️ 😐",4
mateo247,2026-07-09,"  Muy recomendada, el login es justo lo que necesitaba  ",5
luciana594,2026-07-01,"Muy buena app, , aunque la interfaz podria mejorar un poco",4
renata976,2026-05-19,"La mejor app que probé en mucho tiempo, el precio de la suscripción funciona increíble",5
paula563,2026-06-05,"Regular, , TIENE cosas buenas pero las actualizaciones me generó dudas!!",3
renata970,2026-06-23,"La mejor app que probé en mucho tiempo, la interfaz funciona increíble. Muy recomendada, el precio de la suscripción es justo lo que necesitaba",5
carolina717,2026-06-03,"Es una app promedio, , la interfaz funciona a veces y a veces NO??",3
renata823,2026-05-04,"TUVE VARIOS INCONVENIENTES CON LAS ACTUALIZACIONES, NO FUE BUENA EXPERIENCIA 👎!!!",2
paula291,2026-05-15,"  Muy buena app, aunque la app en tablet podría mejorar un poco   🤔",4
daniela507,2026-06-24,"Terrible, la velocidad de carga SE rompe constantemente.",1
paula868,2026-05-07,"ME gusta bastante, la función de backup funciona bien casi siempre. Recomendada, aunque esperaba un poco más de el login...",4
valentina185,2026-06-16,"Muy buena app, aunque el login podría mejorar un poco 😐",4
sofia362,2026-06-22,"Muy recomendada, los anuncios es justo lo que necesitaba",5
paula112,2026-06-03,"Increible experienciaa de principio a fin, sin ningun problema",5
paula516,2026-07-03,"Bastante conforme, , los anuncios es sólido aunque no perfecto. Buena experiencia en general, , solo tuve un problemita con el modo oscuro 👏.",4
fernanda639,2026-06-07,"Muy buena APP, aunquue la batería podría mejorar un poco!!",4
renata977,2026-06-19,"No la recomendaría del todo, las alertas push tiene muchos problemas. No la recomendaría del todo, el precio de la suscripción tiene muchos problemas 😞!!!",2
martin685,2026-05-27,"Simplemente la mejor,  el precio de la suscripción nunca me falló 👏",5
renata635,2026-05-05,"Muy buena app, aunque las actualizaciones podría mejorar un poco. Recomendada, aunque esperraba un poco más de la app en tablet",4
santiago587,2026-05-29,"Bastante conforme, la función de backup es sólido aunque no perfecto!",4
martin177,2026-05-08,"Diez de diez, , las alertas push supero mis expectativas totalmente",5
carolina152,2026-05-13,"Tuve varios inconvenientes con la app en tablet, no fue buena experiencia. No la recomendaría del todo, la velocidad de carga tiene muchos problemas",2
gabriel79,2026-05-06,"Me gusta bastante, el soporte al cliente funciona bien casi siempre. 🤔",4
